site,sllb,slll,sldul,slsat,slrgf,sksat,slbdm,SLOM,sloc,slni,slcly,slsil,slsnd,slphw,ICH2O,ICNH4M,ICNH4M,awc,sksat_d,USCLAY,USSILT,USSAND,OC,BD,PH_H2O,DEPTH_M,hz_tp,hz_bt
13,30,0.23,0.41,0.467,0.7,0.8,1.2,1.07,0.62,0.06,40,25,35,6.5,36.5,7.2,1.3,36,19.2,40,25,35,0.62,1.2,6.5,20,10,30
13,60,0.26,0.415,0.467,0.4,0.6,1.2,0.84,0.49,0.05,40,25,35,6.5,37.625,10.7,1.9,47,14.4,40,25,35,0.49,1.2,6.5,45,30,60
13,90,0.29,0.42,0.47,0.2,0.5,1.2,0.77,0.45,0.05,40,25,35,6.5,38.75,8.3,1.4,39,12,40,25,35,0.45,1.2,6.5,75,60,90
13,120,0.32,0.425,0.475,0.1,0.4,1.2,0.74,0.43,0.04,40,25,35,6.5,39.875,1.1,0.2,32,9.6,40,25,35,0.43,1.2,6.5,105,90,120
13,150,0.36,0.43,0.48,0.1,0.3,1.2,0.65,0.38,0.04,40,25,35,6.5,41.25,1.1,0.2,21,7.2,40,25,35,0.38,1.2,6.5,135,120,150
13,180,0.4,0.43,0.48,0,0.2,1.2,0.36,0.21,0.02,40,25,35,6.5,42.25,1.1,0.2,9,4.8,40,25,35,0.21,1.2,6.5,165,150,180
15,20,0.285,0.358,0.448,1,0.38,1.3,1.92,1.11,0.12,25,57,18,7.3,33.975,7.2,1.3,15,9.12,25,57,18,1.11,1.3,7.3,90,0,20
15,40,0.198,0.342,0.448,0.7,0.38,1.34,1.09,0.64,0.08,37,51,12,7.5,30.6,7.2,1.3,29,9.12,37,51,12,0.64,1.34,7.5,30,20,40
15,60,0.197,0.327,0.489,0.4,0.38,1.32,0.73,0.43,0.06,50,21,29,7.5,29.45,7.2,1.3,26,9.12,50,21,29,0.43,1.32,7.5,50,40,60
15,90,0.24,0.388,0.458,0,0.38,1.33,0.59,0.34,0.05,43,30,27,7.4,35.1,8.3,1.4,44,9.12,43,30,27,0.34,1.33,7.4,75,60,90
15,150,0.24,0.388,0.458,0.1,0.38,1.4,0.47,0.28,0.05,35,35,30,7.3,35.1,3.3,0.6,89,9.12,35,35,30,0.28,1.4,7.3,120,90,150
16,30,0.196,0.37,0.438,1,0.05,1.4,1.81,1.05,0.11,16.6,75.5,7.9,8.2,32.65,10.7,1.9,52,1.2,16.6,75.5,7.9,1.05,1.4,8.2,90,0,30
16,60,0.174,0.344,0.423,0.5,0.08,1.55,0.77,0.45,0.05,26,66.5,7.5,8.2,30.15,10.7,1.9,51,1.92,26,66.5,7.5,0.45,1.55,8.2,45,30,60
