OBS_ID,THS,THR,ALF,N,K0,L,M,OBS_ID,site,sllb,slll,sldul,slsat,slrgf,sksat,slbdm,SLOM,sloc,slni,slcly,slsil,slsnd,slphw,ICH2O,ICNO3M,ICNH4M,awc,sksat_d,USCLAY,USSILT,USSAND,OC,BD,PH_H2O,DEPTH_M,hz_tp,hz_bt,theta_fc,theta_pwp
82,51.255,9.993,0.01412,1.23255,345.4792,-1.60097,0.150673577,82,12,10,0.21,0.39,0.44,1,1,1.2,1.72,1,0.1,40,25,35,6.5,34.5,3.6,0.6,18,24,40,25,35,1,1.2,6.5,95,0,10,38.09067363,21.86557503
83,51.55,10.268,0.01151,1.24274,295.9359,-1.26033,0.114486804,83,12,30,0.23,0.41,0.467,0.7,0.8,1.2,1.07,0.62,0.06,40,25,35,6.5,36.5,7.2,1.3,36,19.2,40,25,35,0.62,1.2,6.5,20,10,30,39.12722777,22.08671659
84,51.624,10.349,0.01089,1.2464,284.3051,-1.16679,0.124973856,84,12,60,0.26,0.415,0.467,0.4,0.6,1.2,0.84,0.49,0.05,40,25,35,6.5,37.625,10.7,1.9,47,14.4,40,25,35,0.49,1.2,6.5,45,30,60,39.38463722,22.10406181
85,51.699,10.435,0.0103,1.25053,272.9801,-1.0716,0.153865174,85,12,90,0.29,0.42,0.47,0.2,0.5,1.2,0.77,0.45,0.05,40,25,35,6.5,38.75,8.3,1.4,39,12,40,25,35,0.45,1.2,6.5,75,60,90,39.63602436,22.10363117
86,51.775,10.527,0.00972,1.25513,261.9618,-0.97562,0.176519251,86,12,100,0.32,0.425,0.475,0.1,0.4,1.2,0.74,0.43,0.04,40,25,35,6.5,39.875,3.3,0.6,11,9.6,40,25,35,0.43,1.2,6.5,95,90,100,39.89495466,22.09328139
87,51.255,9.993,0.01412,1.23255,345.4792,-1.60097,0.152547305,87,13,10,0.21,0.39,0.44,1,1,1.2,1.72,1,0.1,40,25,35,6.5,34.5,3.6,0.6,18,24,40,25,35,1,1.2,6.5,55,0,10,38.09067363,21.86557503
88,51.55,10.268,0.01151,1.24274,295.9359,-1.26033,0.114486804,88,13,30,0.23,0.41,0.467,0.7,0.8,1.2,1.07,0.62,0.06,40,25,35,6.5,36.5,7.2,1.3,36,19.2,40,25,35,0.62,1.2,6.5,20,10,30,39.12722777,22.08671659
89,51.624,10.349,0.01089,1.2464,284.3051,-1.16679,0.124973856,89,13,60,0.26,0.415,0.467,0.4,0.6,1.2,0.84,0.49,0.05,40,25,35,6.5,37.625,10.7,1.9,47,14.4,40,25,35,0.49,1.2,6.5,45,30,60,39.38463722,22.10406181
90,51.699,10.435,0.0103,1.25053,272.9801,-1.0716,0.153865174,90,13,90,0.29,0.42,0.47,0.2,0.5,1.2,0.77,0.45,0.05,40,25,35,6.5,38.75,8.3,1.4,39,12,40,25,35,0.45,1.2,6.5,75,60,90,39.63602436,22.10363117
91,51.775,10.527,0.00972,1.25513,261.9618,-0.97562,0.190289877,91,13,120,0.32,0.425,0.475,0.1,0.4,1.2,0.74,0.43,0.04,40,25,35,6.5,39.875,1.1,0.2,32,9.6,40,25,35,0.43,1.2,6.5,105,90,120,39.89495466,22.09328139
92,51.85,10.623,0.00916,1.26022,251.2506,-0.87971,0.210773124,92,13,150,0.36,0.43,0.48,0.1,0.3,1.2,0.65,0.38,0.04,40,25,35,6.5,41.25,1.1,0.2,21,7.2,40,25,35,0.38,1.2,6.5,135,120,150,40.15529919,22.06899971
93,51.85,10.623,0.00916,1.26022,251.2506,-0.87971,0.266202887,93,13,180,0.4,0.43,0.48,0,0.2,1.2,0.36,0.21,0.02,40,25,35,6.5,42.25,1.1,0.2,9,4.8,40,25,35,0.21,1.2,6.5,165,150,180,40.15529919,22.06899971
